file,line,member,px,has_bind,verdict,source,reason
"CameraPopup.cpp","502","m_image","","yes","data","m_bitmap_normal.bmp()","Camera item artwork inside the CameraItem row; the row is the control and every mouse event (left, right, double click) is forwarded to it. Content, not a control."
"ColorDecomposeDialog.cpp","513","warn_bmp","16","no","glyph","create_scaled_bitmap(""obj_warning"", m_limit_warning_panel, 16)",""
"ConfigWizard.cpp","271","bitmap_widget","","no","unclassified","bitmap",""
"ConnectPrinter.cpp","96","m_bitmap_diagram","340","no","data","wxNullBitmap",""
"CreatePresetsDialog.cpp","1571","m_step_1","","no","glyph","create_scaled_bitmap(""step_1"", nullptr, FromDIP(20))",""
"CreatePresetsDialog.cpp","1578","m_step_2","","no","glyph","create_scaled_bitmap(""step_2_ready"", nullptr, FromDIP(20))",""
"CreatePresetsDialog.cpp","3434","success_bitmap","","no","glyph","create_scaled_bitmap(""create_success"", nullptr, FromDIP(24))",""
"DeviceErrorDialog.cpp","46","m_error_picture","300","no","data","wxBitmap()",""
"DeviceTab/uiAmsHumidityPopup.cpp","50","m_humidity_img","","no","data","wxNullBitmap",""
"DeviceTab/uiAmsHumidityPopup.cpp","54","m_dry_state_img","","no","data","wxNullBitmap",""
"DeviceTab/uiDeviceUpdateVersion.cpp","95","m_dev_upgrade_indicator","5","no","badge","wxNullBitmap",""
"DeviceTab/wgtDeviceNozzleRack.cpp","162","m_toolhead_icon","98","no","data","m_extruder_nozzle_empty->bmp()",""
"DeviceTab/wgtDeviceNozzleRack.cpp","754","m_nozzle_icon","","yes","data","m_nozzle_empty_image->bmp()","46 px nozzle image tinted with the ink colour; the nozzle item row is the selectable control and the click forwards to OnItemSelected. Content, not a control."
"DeviceTab/wgtDeviceNozzleRack.cpp","757","m_nozzle_selected_bitmap","20","no","data","wxNullBitmap",""
"DeviceTab/wgtDeviceNozzleRackUpdate.cpp","208","m_icon_bitmap","","no","glyph","m_nozzle_empty_image->bmp()",""
"DeviceTab/wgtDeviceNozzleRackUpdate.cpp","399","hoverBmp","","no","unclassified","scaledBmp->bmp()",""
"ExtrusionCalibration.cpp","242","m_calibration_tips_static_bmp","","yes","data","wxNullBitmap","Calibration instruction picture with a custom paint scaler; the click opens the picture larger. Deferred: needs a kit image-tile component that hosts a content image with an accessible open action."
"ExtrusionCalibration.cpp","371","zoomed_bitmap","","no","glyph","wxNullBitmap",""
"FilamentMapPanel.cpp","755","icon_btn","","no","unclassified","icon_bitmap",""
"FilamentPickerDialog.cpp","236","m_color_demo","","no","glyph","wxNullBitmap",""
"FilamentScanner.cpp","326","m_qr_bitmap","","no","data","qr_bitmap(url, FromDIP(6))",""
"HelioReleaseNote.cpp","672","success_icon","80","no","data","create_scaled_bitmap(""create_success"", page_pat_panel, 80)",""
"HelioReleaseNote.cpp","827","helio_pat_copy","","no","glyph","create_scaled_bitmap(""helio_copy"", page_pat_panel, 20)",""
"HelioReleaseNote.cpp","837","helio_pat_refresh","","no","glyph","create_scaled_bitmap(""helio_refesh"", page_pat_panel, 24)",""
"HelioReleaseNote.cpp","841","helio_pat_eview","","no","glyph","create_scaled_bitmap(""helio_eview"", page_pat_panel, 24)",""
"HelioReleaseNote.cpp","845","helio_pat_dview","","no","glyph","create_scaled_bitmap(""helio_dview"", page_pat_panel, 24)",""
"HelioReleaseNote.cpp","1574","simulation_mode_icon","28","yes","data","simulation_icon_color","Mode card artwork; the surrounding card panel is the selectable control and the icon click forwards to the same selection handler. Content, not a control."
"HelioReleaseNote.cpp","1653","optimization_mode_icon","28","yes","data","optimization_icon_color","Mode card artwork; the surrounding card panel is the selectable control and the icon click forwards to the same selection handler. Content, not a control."
"HelioReleaseNote.cpp","1793","panel_pay_loading_icon","136","no","data","create_scaled_bitmap(""helio_loading"", panel_pay_optimization, 109)",""
"HelioReleaseNote.cpp","3297","rating_star1","24","no","glyph","create_scaled_bitmap(""score_star_dark"", this, 24)",""
"HelioReleaseNote.cpp","3298","rating_star2","24","no","glyph","create_scaled_bitmap(""score_star_dark"", this, 24)",""
"HelioReleaseNote.cpp","3299","rating_star3","24","no","glyph","create_scaled_bitmap(""score_star_dark"", this, 24)",""
"HelioReleaseNote.cpp","3300","rating_star4","24","no","glyph","create_scaled_bitmap(""score_star_dark"", this, 24)",""
"HelioReleaseNote.cpp","3301","rating_star5","24","no","glyph","create_scaled_bitmap(""score_star_dark"", this, 24)",""
"HMSPanel.cpp","47","m_bitmap_notify","","no","glyph","wxNullBitmap",""
"HMSPanel.cpp","61","m_bitmap_arrow","","no","glyph","wxNullBitmap",""
"ImageDPIFrame.cpp","36","m_bitmap","","no","glyph","create_scaled_bitmap(""printer_preview_C13"", this, m_image_px)",""
"ImageMessageDialog.cpp","39","m_error_picture","","no","data","bitmap",""
"Monitor.cpp","50","m_bitmap_empty","","no","glyph","wxNullBitmap",""
"MonitorBasePanel.cpp","52","m_bitmap_printer","1","no","badge","wxNullBitmap",""
"MonitorBasePanel.cpp","59","m_bitmap_arrow1","1","no","badge","wxNullBitmap",""
"MonitorBasePanel.cpp","118","m_bitmap_signal","1","no","badge","wxNullBitmap",""
"MonitorBasePanel.cpp","125","m_bitmap_arrow2","1","no","badge","wxNullBitmap",""
"MonitorBasePanel.cpp","158","m_bitmap_arrow3","1","no","badge","wxNullBitmap",""
"MonitorBasePanel.cpp","191","m_bitmap_arrow4","1","no","badge","wxNullBitmap",""
"MonitorBasePanel.cpp","225","m_bitmap_arrow5","1","no","badge","wxNullBitmap",""
"MonitorBasePanel.cpp","337","m_bitmap_task","","no","glyph","wxNullBitmap",""
"PartSkipDialog.cpp","245","m_retry_bitmap","","no","glyph","create_scaled_bitmap(""partskip_retry"", m_book_second_panel, 200)",""
"Plater.cpp","3045","image_printer","","yes","data","wxNullBitmap","Printer thumbnail; the click forwards to the printer preset combo, which is the control. Content, not a control."
"PlateSettingsDialog.cpp","526","warn_icon","16","no","glyph","create_scaled_bitmap(""warning"", this, 16)",""
"PurgeModeDialog.cpp","196","m_btn","","yes","data","icon","Mode card icon; the PurgeModeItem card is the selectable control and the icon click forwards to it. Content, not a control."
"PurgeModeDialog.cpp","199","m_check_btn","","no","unclassified","check_icon",""
"ReleaseNote.cpp","230","m_brand","70","no","data","sm",""
"ReleaseNote.cpp","270","m_bitmap_open_in_browser","","no","glyph","create_scaled_bitmap(""open_in_browser"", this, 12)",""
"ReleaseNote.cpp","821","m_error_prompt_pic_static","300","no","data","wxBitmap()",""
"ReleaseNote.cpp","1577","m_img_help","355","no","data","create_scaled_bitmap(""input_access_code_x1_en"", this, 198)",""
"ReleaseNote.cpp","1608","m_img_step1","6","no","badge","create_scaled_bitmap(""ip_address_step"", this, 6)",""
"ReleaseNote.cpp","1609","m_img_step2","6","no","badge","create_scaled_bitmap(""ip_address_step"", this, 6)",""
"ReleaseNote.cpp","1610","m_img_step3","6","no","badge","create_scaled_bitmap(""ip_address_step"", this, 6)",""
"ReleaseNote.cpp","2258","expand_image","380","no","data","sm",""
"ReleaseNote.cpp","2290","check_icon","48","no","unclassified","create_scaled_bitmap(""helio_feature_shield_check"", card1, 48)",""
"ReleaseNote.cpp","2313","speed_icon","48","no","unclassified","create_scaled_bitmap(""helio_feature_speed"", card2, 48)",""
"ReleaseNote.cpp","2394","info_icon","14","no","glyph","create_scaled_bitmap(""more_info"", this, 14)",""
"SelectMachine.cpp","326","timeimg","18","no","md3-rendered","dialog_action_glyph(m_basic_panel, MaterialIcon::Schedule, MD3::Role::OnSurfaceVariant, ""print-time"", 18)",""
"SelectMachine.cpp","333","weightimg","18","no","md3-rendered","dialog_action_glyph(m_basic_panel, MaterialIcon::Scale, MD3::Role::OnSurfaceVariant, ""print-weight"", 18)",""
"SelectMachine.cpp","732","m_options_line_bmp","25","no","md3-rendered","dialog_action_glyph(m_options_line_panel, MaterialIcon::Warning, MD3::Role::OnSurfaceVariant, ""warning"", 25)",""
"SelectMachine.cpp","839","completedimg","","no","md3-rendered","dialog_action_glyph(m_panel_finish, MaterialIcon::TaskAlt, MD3::Role::Primary, ""completed"", 25)",""
"SelectMachine.cpp","2804","warn_bmp","16","no","md3-rendered","dialog_action_glyph(&dlg, MaterialIcon::Warning, MD3::Role::OnSurfaceVariant, ""obj_warning"", 16)",""
"SelectMachine.cpp","7002","m_staticbitmap","","no","glyph","wxNullBitmap",""
"SelectMachine.cpp","7775","m_bed_image","","no","data","create_scaled_bitmap(""bed_cool"", this, 32)",""
"SendMultiMachinePage.cpp","1171","timeimg","18","no","data","print_time->bmp()",""
"SendMultiMachinePage.cpp","1179","weightimg","18","no","data","print_weight->bmp()",""
"SendToPrinter.cpp","368","timeimg","18","no","data","create_scaled_bitmap(""print-time"", this, 18)",""
"SendToPrinter.cpp","375","weightimg","18","no","data","create_scaled_bitmap(""print-weight"", this, 18)",""
"SendToPrinter.cpp","509","completedimg","","no","data","create_scaled_bitmap(""completed"", m_panel_finish, 25)",""
"SliceInfoPanel.cpp","64","prediction_bitmap","","no","glyph","create_scaled_bitmap(""monitor_item_prediction"", nullptr, 16)",""
"SliceInfoPanel.cpp","72","cost_bitmap","","no","glyph","create_scaled_bitmap(""monitor_item_cost"", nullptr, 16)",""
"SliceInfoPanel.cpp","179","m_bmp_item_thumbnail","","no","data","wxNullBitmap",""
"SliceInfoPanel.cpp","190","m_bmp_item_prediction","","no","glyph","prediction",""
"SliceInfoPanel.cpp","199","m_bmp_item_cost","","no","glyph","cost",""
"SliceInfoPanel.cpp","219","m_bmp_item_print","","no","glyph","print",""
"StatusPanel.cpp","1219","m_bitmap_thumbnail","","no","data","m_thumbnail_placeholder.bmp()",""
"StatusPanel.cpp","1238","m_bitmap_static_use_time","16","no","glyph","m_bitmap_use_time.bmp()",""
"StatusPanel.cpp","1245","m_bitmap_static_use_weight","16","no","glyph","m_bitmap_use_weight.bmp()",""
"StatusPanel.cpp","2329","m_bitmap_sdcard_img","","no","data","wxNullBitmap",""
"StatusPanel.cpp","2333","m_bitmap_timelapse_img","","no","data","wxNullBitmap",""
"StatusPanel.cpp","2338","m_bitmap_recording_img","","no","data","wxNullBitmap",""
"StatusPanel.cpp","2342","m_bitmap_vcamera_img","","no","data","wxNullBitmap",""
"StatusPanel.cpp","2678","bmp","","no","md3-rendered","MaterialIcon::bitmap(parent, glyph, 20, colour)",""
"StatusPanel.cpp","3063","m_img_filament_loading","24","no","md3-rendered","filament_loading_chevron(this, false)",""
"StatusPanel.cpp","3093","m_filament_load_img","","no","data","wxNullBitmap",""
"StatusPanel.cpp","6704","imageCtrl","","yes","data","wxBitmap(wxImage(local_path, wxBITMAP_TYPE_ANY).Rescale(FromDIP(80), FromDIP(60)))","Print-rating photo tiles (local and downloaded) that open a preview on click. Deferred: needs a kit image-tile component with an accessible open action; the tile map is keyed on the holder type."
"StatusPanel.cpp","6727","imageCtrl","","yes","data","wxBitmap(image.Rescale(FromDIP(80), FromDIP(60)))","Print-rating photo tiles (local and downloaded) that open a preview on click. Deferred: needs a kit image-tile component with an accessible open action; the tile map is keyed on the holder type."
"StatusPanel.cpp","6908","little_photo_img","20","no","data","little_photo.bmp()",""
"SyncAmsInfoDialog.cpp","932","m_advanced_options_icon","18","no","md3-rendered","MaterialIcon::available() ? MaterialIcon::bitmap(m_scrolledWindow, MaterialIcon::ExpandMore, 18, StateColor::semantic(MD",""
"SysInfoDialog.cpp","101","m_logo","","no","data","m_logo_bmp.bmp()",""
"Tab.cpp","611","m_wiki_bmp","","no","glyph","wiki_icon->bmp()",""
"Tab.cpp","8028","warning_icon","","no","glyph","bmp.bmp()",""
"UpgradePanel.cpp","69","m_printer_img","200","no","data","wxNullBitmap",""
"UpgradePanel.cpp","105","m_ota_new_version_img","5","no","badge","wxNullBitmap",""
"UpgradePanel.cpp","147","m_ams_img","200","no","data","wxNullBitmap",""
"UpgradePanel.cpp","183","m_extra_ams_img","200","no","data","wxNullBitmap",""
"UpgradePanel.cpp","206","m_ext_img","200","no","data","wxNullBitmap",""
"UpgradePanel.cpp","332","m_nozzle_rack_img","200","no","data","wxNullBitmap",""
"UpgradePanel.cpp","374","m_upgrade_status_img","5","no","badge","wxNullBitmap",""
"UpgradePanel.cpp","396","m_air_pump_img","200","no","data","wxNullBitmap",""
"UpgradePanel.cpp","422","m_cutting_img","200","no","data","wxNullBitmap",""
"UpgradePanel.cpp","450","m_exhaustfan_img","200","no","data","wxNullBitmap",""
"UpgradePanel.cpp","477","m_lazer_img","200","no","data","wxNullBitmap",""
"UpgradePanel.cpp","505","m_extinguish_img","200","no","data","wxNullBitmap",""
"UpgradePanel.cpp","532","m_rotary_img","200","no","data","wxNullBitmap",""
"UpgradePanel.cpp","564","m_amshub_img","200","no","data","wxNullBitmap",""
"UpgradePanel.cpp","1465","m_filatrack_img","200","no","data","wxNullBitmap",""
"UpgradePanel.cpp","1835","m_ams_new_version_img","5","no","badge","wxNullBitmap",""
"UpgradePanel.cpp","1921","m_ext_new_version_img","5","no","badge","wxNullBitmap",""
"UserPresetsDialog.cpp","46","bitmap","","no","glyph","create_scaled_bitmap(wxGetApp().dark_mode() ? ""preset_empty_dark"" : ""preset_empty"", this, 150)",""
"Widgets/AMSControl.cpp","1005","icon","","no","unclassified","wxArtProvider::GetBitmap(wxART_INFORMATION, wxART_MESSAGE_BOX, wxSize(FromDIP(16), FromDIP(16)))",""
"Widgets/AnimaController.cpp","22","m_bitmap","","yes","data","m_images[0]","Animation frames of the AnimaIcon spinner; the owning widget forwards the click. Content, not a control."
"Widgets/FanControl.cpp","505","m_static_bitmap_fan","","no","glyph","m_bitmap_fan->bmp()",""
"Widgets/MultiNozzleSync.cpp","31","nozzle_icon","","no","unclassified","icon",""
"Widgets/MultiNozzleSync.cpp","205","badget","","no","glyph","icon",""
"Widgets/SwitchButton.cpp","988","iconCtrl","","no","unclassified","m_icon",""
"wxExtensions.cpp","1345","m_image","","no","data","bmp",""
